feature_1,feature_2,target
21.40535405939274,22.92301394457524,1
3.576094859093221,48.07993908692108,0
42.525732724791,30.25148627875896,1
25.68424525245251,36.61817503389809,1
16.50967487633645,42.748147053699725,0
30.33500279595609,34.88668995953754,1
23.89401219727264,37.45498002266234,1
-1.7970192724474376,16.212454016686358,0
21.95892221062537,38.8780605217273,0
29.474932823665487,35.54968827489468,1
15.356381486798178,41.66722890057125,0
12.65357460553097,44.77882796848036,0
25.461409737311314,36.73213802010451,1
-7.902440137244966,53.32786386366943,0
11.646830365076505,44.788075061597155,0
24.82250153051055,38.401464104050994,1
22.57658873016198,37.49699274858533,1
9.581931789385736,45.607950055519495,0
34.58397122709969,33.50636917201953,1
18.59951303450527,39.785287049118836,0
-1.9196635896556629,50.43084242040571,0
8.31132781041597,45.57044906098065,0
17.997913598935963,41.417652497068694,0
4.058796575112272,48.04333360612626,0
1.305488805552912,47.25660424086176,0
19.221799021668605,21.976521931733885,1
7.188149976537364,18.952927342375343,0
30.944526228629897,34.53189942791906,1
11.976968515513347,42.99652162465,0
24.282809710324806,39.26408435343786,1
10.86097182487143,45.388035870660396,0
18.19795173662842,39.63848507794183,0
9.322277082754997,44.928704055713446,0
13.007141697933353,44.15963120865173,0
26.25244773123428,36.78654792670226,1
40.79028266337147,28.946255743707063,1
6.364929358890896,46.749170672306946,0
14.45623613694723,40.65887056659133,0
25.138778002332735,38.45780170065799,1
8.435518054327755,45.23723280956849,0
13.325112929020353,21.145766955995185,1
30.858436074982727,35.08282346061393,1
6.738359022054919,47.061944759671505,0
34.07068356142191,33.75307978957984,1
15.886082762186472,42.61013042094327,0
7.226660874353597,19.419769174516745,0
5.318724116948692,47.12434949914709,0
6.676197954439733,18.52841097710446,0
13.048224492920935,43.34304803765936,0
19.22962475114629,40.743356702000774,0
41.879677361066086,29.759896449073334,1
19.636008049697296,39.3726492307691,0
29.538113675510377,36.71710993494953,1
14.34236339936192,43.27758160930714,0
59.165632647225245,22.26268563992742,1
17.04368427271565,40.84086017905603,0
23.591852311334943,37.92326464440987,1
31.98825308330123,34.78327696965246,1
18.475134297769415,40.215845633910234,0
3.9091936158289755,18.29105396095673,0
26.18761455095089,37.58719752437531,1
1.4590272275882512,49.742347024604,0
15.25394553167931,21.55295427727111,1
17.728779945798163,40.96511048779176,0
32.552442179517996,33.859951403518195,1
34.80257960583465,33.95501844255453,1
14.684929475374418,43.49147657912964,0
26.567068957287894,36.430321323974276,1
36.21478882204018,30.564667211929,1
17.81968833585942,40.46805641793283,0
6.881976394871579,45.7022997872022,0
25.684531213534907,37.54350026085385,1
13.278589445593969,42.14455629942428,0
15.381094218471528,41.409083834981,0
22.774342891023515,37.597004327201546,1
19.371122024415545,40.395492269271706,0
18.984180749098392,39.97808882718899,0
13.372821449001076,43.42345760971709,0
17.401250789223685,41.37468910910532,0
10.103183269672863,45.01665233231849,0
11.175346126017864,20.14922950200051,0
26.896090310520435,36.13313444032837,1
13.446581829578667,44.27323334218183,0
31.230319801030465,35.59529109051472,1
10.751674241598668,43.95776596388004,0
33.33845876883811,31.667007799545566,1
20.089141237983345,40.324955255553064,0
-0.9341829073854413,49.56475936356181,0
4.80780197985205,48.60979227598246,0
1.466387271437764,48.342107228707256,0
-8.809698310364432,54.14716117625877,0
31.03909798288345,35.552360015106025,1
24.257218017741252,38.48813216588943,1
31.85094771036624,34.51277997236381,1
20.42612385965742,38.13028260536154,0
23.896087469836832,39.23183451499124,1
5.051014699167547,47.573794760313476,0
25.556543334645827,36.14687311491496,1
