x,y,z,t
4.838507271541272,0.08174486385410007,1.9814052689397563,1
0.8252738223599265,1.3236392818233957,2.0861214791672062,1
5.486387566744577,-0.57619697849737,1.6765290755757674,1
6.389034621276082,-0.36923532567546336,1.6825049886604428,1
5.300230437822297,-0.5419150044564138,1.8507690091975595,1
-0.4738430414514646,-0.8653071263181366,1.1155585512460018,1
6.992523328372636,-2.3709047303575215,1.4204303738038657,1
0.09631498358797314,-0.5987437340731008,1.339320956231199,1
5.3078595691761405,-0.17286150021741584,1.8086740884004588,1
4.844772978956836,0.8324926735903071,1.9677980250262892,1
3.730050935709476,-0.8724051863330216,1.8658078754077618,1
3.703229282713095,1.837716601452629,2.1608143929038124,1
0.25887611847393344,1.279295813415959,1.9262208254760744,1
5.277437156478465,-1.828254878723895,1.506939015817792,1
5.558759674328011,0.08459794456347866,1.8886056344620472,1
3.0790911757029296,1.6104062592704014,2.2571421279575627,1
4.478435038898896,0.17291933114438596,1.9732873742684511,1
-0.6270714785862068,-0.12151051774948585,1.3084973370399615,0
5.179963597156879,1.039538234515602,2.068259148210895,1
-0.9875886178781231,-1.011505257698199,0.9185911283456526,1
4.723126879930506,1.6767964110590987,2.1943017971289698,0
4.491126313624259,0.4445875631354036,2.0277246506192355,1
6.565274204789516,-0.5621218748653062,1.6507045884965226,1
6.2545118176643175,1.5743475084851668,1.8349976259463443,1
0.2908899904751471,-0.09724030570396952,1.5612045077954122,1
4.12573996853158,1.1988390719608226,2.2128894104931716,1
5.06632459221497,2.436036740951899,2.186339123020942,1
4.695715184878838,-1.6195643122724783,1.635979477454407,1
5.613696041803887,0.5904332953832537,1.8452692398638477,1
-0.0709130666243967,-0.4898291508747652,1.3006729745025098,0
3.901746394368355,0.7760808361905036,2.132625158559523,1
4.503058476146422,1.0267517121797558,2.100315762582197,1
3.7074946168742424,2.007286998343529,2.2141470643240377,1
4.619389070442789,0.40657156044458037,2.0497396385443527,1
0.7955186129173039,0.2897378602745665,1.7940924754565881,1
